id,anchor,target,context,title,label
ebaa4fe2beeae968,electromagnetic radiation source,excitation light source,G02,optics,0.5
9b812feac17b7531,olefin production,production of eggs,C10,"petroleum, gas or coke industries; technical gases containing carbon monoxide; fuels; lubricants; peat",0.0
ea918a5225227c4b,wave generation,moments,A63,sports; games; amusements,0.25
0729d791a35aae0d,imaging axis,degree of certainity,G02,optics,0.25
d575e071125a055f,voltage values,positive of voltages,B41,printing; lining machines; typewriters; stamps,0.5
d3e544e185c0e906,expandable scaffold,compressible,A61,medical or veterinary science; hygiene,0.25
f80c8f9685c13dc6,provide by terminals,provide by user terminals,H04,electric communication technique,0.5
29f3ffb99322b0c7,heart pacemaker,pacing device,H01,basic electric elements,0.25
31ff91c62ff97022,inorganic hybrid,wearable devices,H01,basic electric elements,0.25
ac7c9cd1967fd23e,stability function,kidney function,B60,vehicles in general,0.0
ffa9a220b226b356,walnut oil,oil care,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.0
7aede084ba213283,imidazo,images,A61,medical or veterinary science; hygiene,0.0
374bbc0fbf1f09fe,transmit over interface,over fed,H04,electric communication technique,0.0
5d95ecf070d1239f,upper clamp arm,upper layer,A61,medical or veterinary science; hygiene,0.0
07e3138c2b0bdb67,hybrid system,breeding system,C07,organic chemistry,0.5
125e1788b47b54ee,antigen composition,antibody detection immunoassay,G01,measuring; testing,0.5
6db9f72b24bb8fa6,substantially axial,substantially axial alignment,B60,vehicles in general,0.5
7ead25ae6ae4a3b8,rocker lever,link,B61,railways,0.25
74c28b8e0b497ead,projection method,annealing apparatus,B23,machine tools; metal-working not otherwise provided for,0.25
b12f0bcb49c1322f,guided projectiles,projectile motion,G05,controlling; regulating,0.5
6ca122694708a634,pulverulent material,component,B22,casting; powder metallurgy,0.25
79738678486a9fd1,contain based resin,contain based substances,B29,working of plastics; working of substances in a plastic state in general,0.5
d944113410ca8efb,average pore size,average particle diameter,C04,cements; concrete; artificial stone; ceramics; refractories,0.5
22bbe3e12cc8810c,stabilizer members,arms,A01,agriculture; forestry; animal husbandry; hunting; trapping; fishing,0.5
6988b3d29387afd3,melt coating,paint,B41,printing; lining machines; typewriters; stamps,0.25
e2d1802c0608fb11,idle mixture,fuel air mixture,F02,combustion engines; hot-gas or combustion-product engine plants,0.75
25e1202a60ffc579,container opener,supply opener,B41,printing; lining machines; typewriters; stamps,0.5
7c8ebbb350f615cf,turbine machine,aircraft air intake system,B64,aircraft; aviation; cosmonautics,0.25
69d6b48d99a05a35,pneumatic logic,pneumatic valves,B27,working or preserving wood or similar material; nailing or stapling machines in general,0.25
d38c9f988546c775,based writing,design writing,G11,information storage,0.0
958188ed1a638f42,reflection type liquid crystal display,liquid matrix type crystal,G02,optics,0.5
6798e23f2a36de21,provider networks,global network performance,H04,electric communication technique,0.25
e11f14e3eb627d83,operating channel,central,A61,medical or veterinary science; hygiene,0.25
5f53bd4926fac7a3,portable radio communication,wearable electronic,H01,basic electric elements,0.5
8ddf02fec94cb438,intruder detection,detection,B60,vehicles in general,0.5
7a982c7bcd21e889,rhodium carbonyl,carbonyl compounds,C01,inorganic chemistry,0.25
bcc7a8252488b983,idle mixture,mixture gas,F02,combustion engines; hot-gas or combustion-product engine plants,0.5
3f336c6800268da6,display object,determine data,G04,horology,0.5
ff133a4ed6db7d2f,selectively predetermined,predetermined clock,G01,measuring; testing,0.5
de50104275e10bc0,overflow compartment,opening,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.25
4fac68d8700aac0d,dispersed powder,disperse the powder,B29,working of plastics; working of substances in a plastic state in general,1.0
30bb65ed144d61d6,different circumferential positions,respective sides,G02,optics,0.25
380c54ce9625582f,sleeve upper,cylindrical body,A47,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,0.25
507b6b65d4b8a2d7,pulsed plasma,pulsed plasmas,C10,"petroleum, gas or coke industries; technical gases containing carbon monoxide; fuels; lubricants; peat",1.0
abfc1a6401d5edd4,top surface member,top plate member,H01,basic electric elements,0.75
72ad2e2fbf4fd30a,androgen receptor modulators,androgen independent,C07,organic chemistry,0.25
d8f07eb1026a2ac6,notch base,notch emitter,H01,basic electric elements,0.5
13375d8f756bc375,voltage values,rms voltage value,B41,printing; lining machines; typewriters; stamps,0.75
d21d91b5c018ef5f,shaped engaging,shaped eye engagement,A41,wearing apparel,0.5
2c3a4db015dfae77,receive acceleration,sensor,G05,controlling; regulating,0.25
413c6644469964a1,helicase activity,sodium reactivity,C12,biochemistry; beer; spirits; wine; vinegar; microbiology; enzymology; mutation or genetic engineering,0.0
2ed1b1c477df25c4,exit electrode,exit command in shell script,B64,aircraft; aviation; cosmonautics,0.0
a2ec4590aa086d48,chagas disease,trypanosoma cruzi,C07,organic chemistry,0.25
ede336fc39d99a7b,regeneration agent,base,B01,physical or chemical processes or apparatus in general,0.25
5119043144791473,feed control valve,control valve,B23,machine tools; metal-working not otherwise provided for,0.5
5577cf9961676a52,paraboloid,transparent cover,G01,measuring; testing,0.25
ce63b3e22aa6c825,inner closed,lubricating structure,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.25
8390f050db7da79b,water intake,lake,F03,"machines or engines for liquids; wind, spring, or weight motors; producing mechanical power or a reactive propulsive thrust, not otherwise provided for",0.25
baae3c0c572c0b8b,non lamellar,additional,A61,medical or veterinary science; hygiene,0.0
83b797924f9ce61b,crystal thin,crystal salt,H03,basic electronic circuitry,0.0
c0fd977ce3e834b7,perform working operations,milling operation,B21,mechanical metal-working without essentially removing material; punching metal,0.25
05d2c94863fa81d5,filled interior,filled inside,B29,working of plastics; working of substances in a plastic state in general,0.75
c60249b2c95a7fa3,lamination method,lamination process,G02,optics,0.75
c98bb92cadfd3829,mayenite,calcium aluminium oxide,F27,furnaces; kilns; ovens; retorts,0.75
e98b5b6044387028,fluid flow source,liquefied flow source,A61,medical or veterinary science; hygiene,0.5
28fc5075f0f6bcc3,apart elongated,fusion energy system,B64,aircraft; aviation; cosmonautics,0.25
b3832eac81b73dfd,abatement,pollution abatement incinerator,A47,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,0.5
eed24b0b573644b0,transistor m6,power darlington,G05,controlling; regulating,0.5
66b6bc9f8e252204,friction lock,lock,B62,land vehicles for travelling otherwise than on rails,0.5
74d313186dd9d5d6,overall condition,health,B62,land vehicles for travelling otherwise than on rails,0.25
d4deee81aa79d152,olefin production,saturated compounds,B01,physical or chemical processes or apparatus in general,0.25
471b3cb674f7b826,free fatty acid,nicotine,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.25
5613325cb8a57bc8,acid absorption,acid recovery,B01,physical or chemical processes or apparatus in general,0.5
17b3e0dae7088276,mayenite,calcium rich food,B22,casting; powder metallurgy,0.0
7f5d187c62256cfc,voltage patterns,voltages,G06,computing; calculating; counting,0.5
888621feb65ba3a4,sheet supply roller,sheet feed transport rollers,H04,electric communication technique,0.25
4252fa1e5c1b379e,methoxyethylamine,metal rod,C07,organic chemistry,0.0
0de9420314cc44cc,interconnect site,maintenance sites,H01,basic electric elements,0.0
e628a12b5f60d2f2,rotate on its longitudinal axis,rotate around its longitudinal axis,E06,"doors, windows, shutters, or roller blinds in general; ladders",0.5
c70977a12e4d819e,wire grid polarization,grid cable polarization,G01,measuring; testing,0.75
97c783d32a1f2aab,effective storage,loading ratio,B01,physical or chemical processes or apparatus in general,0.25
47b903414e0ee89a,vibratory actuator,magnetic drive apparatus,H02,generation; conversion or distribution of electric power,0.25
479e18571d8b01c0,flexible glass substrate,longitudinal slit,B29,working of plastics; working of substances in a plastic state in general,0.25
e6a1375b4f3b2ed4,sphygmomanometer,measurement sphygmomanometer,G05,controlling; regulating,0.75
119fc03615056e86,normal base,normal support,B41,printing; lining machines; typewriters; stamps,0.75
658db0a3288c27ab,useful metal,useful active metal,C07,organic chemistry,0.5
13ec13d2bebdcc18,resilient spring clip,clip,A61,medical or veterinary science; hygiene,0.5
a991760c8579ecff,contain sulfur compounds,compounds,C11,"animal or vegetable oils, fats, fatty substances or waxes; fatty acids therefrom; detergents; candles",0.25
ed2827a4fd75e372,fluid flow source,vapour flow,A61,medical or veterinary science; hygiene,0.5
86c765cc9e6118cd,boom hydraulic cylinder,hydraulic crane boom,E02,hydraulic engineering; foundations; soil shifting,0.5
33682d84c38f7436,medical product,biologically active product,C12,biochemistry; beer; spirits; wine; vinegar; microbiology; enzymology; mutation or genetic engineering,0.5
5e8d633862a671ee,transmit over interface,transmitted over a bi directional communication network,G11,information storage,0.5
995763b1db48cd14,water product,water insoluble product,C25,electrolytic or electrophoretic processes; apparatus therefor,0.25
47cfcf995b9cbb3a,locking formation,latch,B23,machine tools; metal-working not otherwise provided for,0.25
f43e39bbc74cc27f,travele in direction,eye fluid direction,B61,railways,0.0
cb894b6fa86a18d1,energy storage spring,storage capacity,H02,generation; conversion or distribution of electric power,0.25
305cafd399956dc4,elastic assembly,elastic region,B05,"spraying or atomising in general; applying fluent materials to surfaces, in general",0.75
51da99624104a1c2,propyl bromide,garden compound,C09,dyes; paints; polishes; natural resins; adhesives; compositions not otherwise provided for; applications of materials not otherwise provided for,0.0
314f17ebfe40ab4e,display object,data transfer,G04,horology,0.0
9ca8b2b0ee1a25b6,comfortability,being comfortable,A41,wearing apparel,0.5
a4015b33b7fc4773,flux regulator,food regulation,H02,generation; conversion or distribution of electric power,0.0
07b0f3285cfe0fff,decompressor,decompress expander,G01,measuring; testing,0.5
9f58819713e3ec2d,breech mechanism,reciprocating motion,B25,hand tools; portable power-driven tools; manipulators,0.25
c2dab6e2b7cc7037,key arm,control system,G09,education; cryptography; display; advertising; seals,0.25
f56d25363765f8f5,average pore size,pore hole size,C10,"petroleum, gas or coke industries; technical gases containing carbon monoxide; fuels; lubricants; peat",0.5
5d7acf795a272d96,transition member,member of parliament,E04,building,0.0
2e793973e85ae19b,lamination method,treatment method,G02,optics,0.0
b8effd40df8e25f8,electromagnetic radiation source,excitation light device,G02,optics,0.5
faa212a1c163db52,pulverulent material,liquid,B22,casting; powder metallurgy,0.25
5bc18d56451e7259,voltage values,voltages,H02,generation; conversion or distribution of electric power,0.5
bd3eabee36e07efa,orthogonal acceleration,time of flight,H05,electric techniques not otherwise provided for,0.25
314445ab7a4bb9e4,rear adjustment,side mounting,E05,locks; keys; window or door fittings; safes,0.25
d9b8c42d2077ef17,engage clamp,move toward clamp,H01,basic electric elements,0.5
64129e7d79684aeb,voltage values,voltmeter,B01,physical or chemical processes or apparatus in general,0.25
d09158bbbe3152d9,trommel screen,rotary screen,B03,separation of solid materials using liquids or using pneumatic tables or jigs; magnetic or electrostatic separation of solid materials from solid materials or fluids; separation by high-voltage electric fields,0.75
083b7204ebee20a4,produce thin layers,thick constituent layers,G01,measuring; testing,0.25
c9c438a56243d1af,acid absorption,absorption of carbohydrates,B08,cleaning,0.0
810b414b567d6bdd,gnd,potential,G01,measuring; testing,0.5
1025cd599a000e64,opposing walls,opposing muscle,B60,vehicles in general,0.0
19da11b256fb21a8,liquid reservoirs,vessels,B01,physical or chemical processes or apparatus in general,0.5
cb157b3a53b31194,collator,labeling machine,B65,conveying; packing; storing; handling thin or filamentary material,0.25
137c52772bcd87ff,seal members,seal member,G03,photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography,1.0
803716df0c599205,foot side,toe side,A43,footwear,0.75
a9067e85ac9eea8a,display different pictures,display pictures,G02,optics,0.5
46ed26edc392d2d3,browsers,ip address,H04,electric communication technique,0.25
8dd32dc061c8c192,superior abrasion,fibre,D03,weaving,0.25
b781ae2af825d695,vertical comb,vertical louvers,B81,microstructural technology,0.0
f79831c946a98551,drainage,cold rolled thin gauge,B21,mechanical metal-working without essentially removing material; punching metal,0.25
420ed3f231a4d64e,speed control means,speed controller,G05,controlling; regulating,0.75
dfc70a15ef953d0a,connect to common conductor,connect at common node,B66,hoisting; lifting; hauling,0.5
b7e58673865476de,include retaining elements,several features,A45,hand or travelling articles,0.25
342e9ef5b1be43ae,animal fats,adipose tissue,A23,"foods or foodstuffs; treatment thereof, not covered by other classes",0.25
55211883cac0e95a,portable radio communication,wireless communication,H04,electric communication technique,0.5
79d624f8b52cb547,implant pellets,implantable pellets,A61,medical or veterinary science; hygiene,1.0
7d41b47e156761ef,insulation sleeve,sleeve bearing,H01,basic electric elements,0.0
52a34f3deb7b710c,dual clutch,hydraulics,B60,vehicles in general,0.25
fc37914cceebeabd,based writing,air compression,G11,information storage,0.0
f2ce6b5a00c2634e,movement directions,movements,B23,machine tools; metal-working not otherwise provided for,0.5
ea0f91939d2b6555,shift link,simple machine,A47,furniture; domestic articles or appliances; coffee mills; spice mills; suction cleaners in general,0.25
f0fc8d67ddd57c3e,stabilizer members,front hinge means,A01,agriculture; forestry; animal husbandry; hunting; trapping; fishing,0.5
3d4f79084e728177,enclose with openings,enclosed document,F21,lighting,0.0
b812bc14a51f2bba,aesthetic effects,video editing tools,D03,weaving,0.5
e2d1298b17e9b36c,roll on workpiece,roll workpiece,B23,machine tools; metal-working not otherwise provided for,0.75
3b049e43fad278b5,melt coating,printing,B41,printing; lining machines; typewriters; stamps,0.25
4e74746249f69258,distributor pipe,water flow,A01,agriculture; forestry; animal husbandry; hunting; trapping; fishing,0.25
8e57427fcc150b59,consist of oxalic acid,consist of ethane 12 dioic acid,C04,cements; concrete; artificial stone; ceramics; refractories,0.75
2d4daf33c1ac6e2d,clear buffer,default buffer,G02,optics,0.5
8f75bd2aa7d073b5,intermediate speed,internet speed,D01,natural or man-made threads or fibres; spinning,0.0
ebc1afcd555078c4,display object,display objects,G04,horology,0.75
6c4d2c5b32d1c792,angular contact bearing,plurality element rolling,F42,ammunition; blasting,0.25
16686b43b011ea13,seal members,annular seal members,G03,photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography,0.5
63df0f702dd18e73,mat sections,eye sections,B07,separating solids from solids; sorting,0.0
570d2d91933af903,heart pacemaker,router terminal,H01,basic electric elements,0.0
9f836f5a90c88fc9,dual clutch,double clutch,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.75
d07fd604996ef129,travele in direction,wind blade,G01,measuring; testing,0.25
c584c7d6a6c7e438,committee,combination,G07,checking-devices,0.25
ad9fea65a663a920,photodefinable,photo,H05,electric techniques not otherwise provided for,0.5
9093a0da7154badf,synthetic training,synthesis system,G06,computing; calculating; counting,0.5
813187a9485496a5,breech mechanism,loading sequence of a breech loading naval gun,B25,hand tools; portable power-driven tools; manipulators,0.75
f45628522e468a2c,turbine machine,gas turbine,F03,"machines or engines for liquids; wind, spring, or weight motors; producing mechanical power or a reactive propulsive thrust, not otherwise provided for",0.75
3f2459d0fa349782,overflow compartment,hard metal,B22,casting; powder metallurgy,0.25
bcac2a92fea6480b,board id,black board,G01,measuring; testing,0.0
d09dae15fde79fd6,vco circuit,pll circuit,H03,basic electronic circuitry,0.25
9c0105f34aedca0d,abnormal position,positions,B41,printing; lining machines; typewriters; stamps,0.5
5e960d60184ca9d4,glycitin,glyciphage,B01,physical or chemical processes or apparatus in general,0.0
9e4f1bfecc3d94b4,donor plasmid,plasmid vector,A61,medical or veterinary science; hygiene,0.5
52336d95973e63b4,coat with conducting layer,iron cupboard,C25,electrolytic or electrophoretic processes; apparatus therefor,0.0
412c7483d9d70abc,dispersed powder,dispersed particle,C04,cements; concrete; artificial stone; ceramics; refractories,0.75
cf244c76da9b3383,abnormal position,abnormal profit,D03,weaving,0.0
460d866b4be9e48a,illumination condition,light source adjustment,G03,photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography,0.5
d036aa6f59d05770,disperse in plastic material,distribute in plastic material,B29,working of plastics; working of substances in a plastic state in general,0.75
dca26f5f20132478,committee,ethics committees,G06,computing; calculating; counting,0.5
47059f8056cfe3ed,based writing,generation,G11,information storage,0.0
057a9637d1554911,solder member,new member,H01,basic electric elements,0.0
0cf101bfecf76852,display different pictures,pretty pictures,H04,electric communication technique,0.0
bf9413ab0d4cb7ec,stabilizer members,arms,B60,vehicles in general,0.25
35d3768b6186b6e2,hanging ring,annuloplasty rings,A46,brushware,0.0
11e6dda7829c4226,embedding groove,flange,F23,combustion apparatus; combustion processes,0.25
de51114bc0faec3e,organic starting,organic farming,B61,railways,0.0
58e24383c9d73be9,different circumferential positions,flange,G02,optics,0.25
9836b931ff38cc92,lift element,cam,D01,natural or man-made threads or fibres; spinning,0.25
10e125cf93b530c8,wave generation,wave signal generating,H03,basic electronic circuitry,0.75
71758cfd297caecb,selectively predetermined,selectively pre decided,D04,braiding; lace-making; knitting; trimmings; non-woven fabrics,0.75
97a2adc9bf9d99e5,container section,storage apparatus portion,D01,natural or man-made threads or fibres; spinning,0.75
52494c73a7d3ebc5,average impact,average effect,G01,measuring; testing,0.75
26b34e2ea44f19fa,gold alloy,auag,C22,metallurgy; ferrous or non-ferrous alloys; treatment of alloys or non-ferrous metals,0.75
354fc9c2a0056460,provider networks,providers network,H04,electric communication technique,1.0
21689a5f614b4059,shaped engaging,u shaped driveway,A41,wearing apparel,0.0
5b04c89375d826f7,brake arms,arms means,D01,natural or man-made threads or fibres; spinning,0.5
bba8825425eb8ead,weldability,welding ability,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.75
e087e7aa337def7c,wave generation,wave generating,H03,basic electronic circuitry,1.0
0159b2bfd10403ba,contact cable,contact cable,B61,railways,1.0
3a31d6f20321b1c7,lift element,lifting member,B62,land vehicles for travelling otherwise than on rails,0.75
361b56511d70abb1,operator identification information,operator identifier input,H04,electric communication technique,0.5
f098989b3211555f,main pulse laser,pulse laser oscillator,H01,basic electric elements,0.5
1bbd6d29dfde4cd2,dissolve in glycol,organic compounds,C09,dyes; paints; polishes; natural resins; adhesives; compositions not otherwise provided for; applications of materials not otherwise provided for,0.25
0a57b75475532adf,el display,active el display,H01,basic electric elements,0.5
80c199f815f749b9,component control,temperature control component,A01,agriculture; forestry; animal husbandry; hunting; trapping; fishing,0.5
d9c161511268a400,mat sections,several layers,A63,sports; games; amusements,0.25
efd7ce924a8673a3,sun member,sun planet members,F04,positive - displacement machines for liquids; pumps for liquids or elastic fluids,0.5
3cd0aa006977be0c,rear adjustment,rear inspection,E05,locks; keys; window or door fittings; safes,0.5
9a8d209b331f071c,square lattice,substantial square lattice,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.75
d5f73f69e4c5926b,shaped substrates,materials,H01,basic electric elements,0.25
a9164640194678d8,contain elastomer,thermoplastic,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.25
9c4132ff45ac70cd,free fatty acid,arachidonic acid,B01,physical or chemical processes or apparatus in general,0.5
3c99092d7342ec60,fidelity,speech,H03,basic electronic circuitry,0.5
9e26278dc817076e,transmit alarm,emergency sensors,G06,computing; calculating; counting,0.5
1bd038083008262f,monocrystalline semiconductor,single crystal silicon cells,H04,electric communication technique,0.5
c2df3797b281ea83,receiver shaft,shaft,H04,electric communication technique,0.25
d2308140496be714,collator,fire apparatus,G11,information storage,0.0
20afb0ef31fbff74,source voltage,source potential input,G06,computing; calculating; counting,0.5
2d55abcb5771d7db,lifting load,lift force,B66,hoisting; lifting; hauling,0.75
c3d760ca293268ea,olefin production,reactions,B01,physical or chemical processes or apparatus in general,0.5
88c19653febb0b0b,angular contact bearing,spherical roller bearing,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.5
947714df96265502,liquid reservoirs,fuel tank capacity,F01,machines or engines in general; engine plants in general; steam engines,0.5
dd5ddd269451d8b0,finger actuator,actuator,E05,locks; keys; window or door fittings; safes,0.5
dac7a5aad0436126,illumination condition,illuminance,G03,photography; cinematography; analogous techniques using waves other than optical waves; electrography; holography,0.5
b1660eb8f52b0af7,multiplexed data,data science,H04,electric communication technique,0.0
c9cd20a471f96349,brush guard,guard,A46,brushware,0.5
05b7d115f90d628a,buck converter circuit,image converter,H05,electric techniques not otherwise provided for,0.0
7c848554c36fdbdd,terephthalate polyester,shoe industry,C09,dyes; paints; polishes; natural resins; adhesives; compositions not otherwise provided for; applications of materials not otherwise provided for,0.0
bcfd3c2b88528e02,gutters,eaves shoot,B60,vehicles in general,0.75
15a4bde76ca36940,foot side,limiting preferred example,A43,footwear,0.0
5c07f07de8d92c73,shunt reactor,induction motor,G01,measuring; testing,0.5
727e041ee3285e87,displacement mechanism,pump,F01,machines or engines in general; engine plants in general; steam engines,0.25
dc89bfc1c62313c6,sun member,diameter,F16,engineering elements and units; general measures for producing and maintaining effective functioning of machines or installations; thermal insulation in general,0.25
39617709ce2b8227,coupling factor,primary turns inductance,G01,measuring; testing,0.5
6c5205a6dc99d1eb,friction lock,prevent lock,B62,land vehicles for travelling otherwise than on rails,0.5
34ab3c447c403072,sand formation,sea beach,C09,dyes; paints; polishes; natural resins; adhesives; compositions not otherwise provided for; applications of materials not otherwise provided for,0.25
8ef6c47dfeddbc86,crystal thin,thin quartz crystals,H03,basic electronic circuitry,0.5
080970f59c096352,adjustable multiple,flexible multiple,B25,hand tools; portable power-driven tools; manipulators,0.75
97ac015b056b6c0f,speed control means,axis therewith,D04,braiding; lace-making; knitting; trimmings; non-woven fabrics,0.25
536f1fecbd6a84e4,oil tankers,crude oil tanker,E03,water supply; sewerage,0.5
af5bc4d0678a8dcc,selectively predetermined,predetermined,G01,measuring; testing,0.5
6af3ad0fffcc75fb,recover from reaction product,endometrial ablation,C08,organic macromolecular compounds; their preparation or chemical working-up; compositions based thereon,0.0
dd2984af851100f7,committee,research,G07,checking-devices,0.0
62925bf187daf91f,speed impeller,pressurized centrifugal fan,B01,physical or chemical processes or apparatus in general,0.5
f3a85d213879232d,receiver shaft,master shaft,H04,electric communication technique,0.25
f7925123b657c5b7,cathode layer,photoresist,C25,electrolytic or electrophoretic processes; apparatus therefor,0.25
83d77ff8102eea03,resilient metal,metal article,A43,footwear,0.25
ce0fceaaf1359fe3,vibratory actuator,vibration type actuator,H02,generation; conversion or distribution of electric power,0.75
5916e0d0e034883d,shaped engaging,shaped locking,E05,locks; keys; window or door fittings; safes,0.75
df1f3ca87e509f23,perfluoroalkyl group,family group,B23,machine tools; metal-working not otherwise provided for,0.0
ac700df13fd89ece,produce by pump,produce in pump,B67,"opening, closing {or cleaning} bottles, jars or similar containers; liquid handling",0.25
41cf9404252139a9,air flow line,air passage line,B63,ships or other waterborne vessels; related equipment,0.75
de8430492d3d6e1f,materially less,shank being less,F42,ammunition; blasting,0.5
d2edf152ad837484,opening assembly,eye opening,B60,vehicles in general,0.0
398632a1f849fed7,water product,product water removal,C25,electrolytic or electrophoretic processes; apparatus therefor,0.25
c8ce5e63bcccd9ec,container opener,container cap,A44,haberdashery; jewellery,0.25
